explanation	explanationId	explanation_1yFZqe9kJrDmM0SC349QJ3X7loEAL6TZw7aMLhhphpl5z78051_MR-DIET-018-NWEEK_1541622487915
explanation	user	1yFZqe9kJrDmM0SC349QJ3X7loEAL6TZw7aMLhhphpl5z78051
explanation	ruleId	MR-DIET-018-NWEEK
explanation	timestamp	1541622487915
explanation	startTime	1541440506117
explanation	endTime	1541622487915
explanation	entityType	FOODCATEGORY
explanation	entity	RedMeat
RedMeat	enLabel	Red Meat
RedMeat	negative	AnimalProtein
RedMeat	negative	AnimalLipid
AnimalLipid	enLabel	Animal Lipids
AnimalLipid	cons_en	increment of cardiovascular disease risk
AnimalLipid	cons_en	increment of cholesterol in the blood
AnimalProtein	enLabel	Animal Protein
AnimalProtein	cons_en	intestinal inflammation
AnimalProtein	cons_en	the increment of cancer risk
RedMeat	alternatives	LegumesAndLegumeProducts
RedMeat	alternatives	Fish
Fish	enLabel	Fish
LegumesAndLegumeProducts	enLabel	Processed Legumes
explanation	timing	Week
explanation	quantity	3
explanation	expectedQuantity	2
explanation	meals	MEAL-meal-1541440506117
explanation	meals	MEAL-meal-1541440506118
explanation	goals	SP-GOAL-D-114
explanation	priority	1
explanation	level	3
explanation	constraint	less
explanation	history	1
